seconds_elapsed,gyroscope_z,gyroscope_y,gyroscope_x,gravity_z,gravity_y,gravity_x,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,magnetometer_z,magnetometer_y,magnetometer_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,watchBarometer_relativeAltitude,watchBarometer_pressure,orientation_yaw,orientation_qx,orientation_qz,orientation_roll,orientation_qw,orientation_qy,orientation_pitch,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,barometer_relativeAltitude,barometer_pressure,accelerometer_z,accelerometer_y,accelerometer_x,heartRate_bpm,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ
0.000000,-0.001295,-0.000231,-0.000181,-8.795060,-0.401461,-4.319176,-927.827546,-271.766171,-38.565793,-175.004411,-12.486060,-64.833155,-0.002544,-0.000453,0.002176,,,0.533011,-0.078817,-0.252009,-0.456495,-0.940699,0.212985,0.040949,-0.898855,-0.055844,-0.437582,0.007927,1009.351807,-0.019340,-0.146676,0.027345,,-2.136357,-1.207857,-0.111895,-0.096668,0.039956,-0.639753,0.044411,-0.063775,0.219050,0.889202,-0.060498,-0.111668,0.047503
1.000000,-0.001562,-0.000504,0.000070,-8.796195,-0.480948,-4.308759,-928.423422,-271.392341,-38.540790,-178.608546,-10.255471,-67.214329,-0.002906,-0.000441,0.002250,,,0.531520,-0.082339,-0.250440,-0.455489,-0.941149,0.211513,0.049063,-0.898800,-0.055720,-0.437857,0.015854,1009.350815,-0.018211,-0.066413,0.015192,,1.762625,0.736124,-0.512772,-0.331388,0.132384,-0.761411,0.026338,-0.013863,0.063653,0.889590,-0.034031,-0.214745,0.258586
2.000000,-0.001637,-0.000505,0.000022,-8.799304,-0.530268,-4.296676,-928.160104,-271.454008,-38.518859,-178.232660,-10.342939,-67.193644,-0.002941,-0.000530,0.002010,,,0.530043,-0.084390,-0.249233,-0.454242,-0.941553,0.210330,0.054099,-0.898650,-0.055705,-0.437901,0.015854,1009.350815,-0.014019,-0.016532,0.002984,,0.137290,0.013621,-0.359464,0.014894,-0.339218,-0.938197,0.000008,0.007541,0.017888,0.982200,0.172856,0.014460,0.041340
3.000000,-0.001458,-0.000338,0.000128,-8.799206,-0.541023,-4.295539,-928.143369,-271.356205,-38.734577,-178.198282,-10.202913,-67.404826,-0.002775,-0.000042,0.002241,,,0.528722,-0.084754,-0.248492,-0.454142,-0.941747,0.210196,0.055197,-0.900549,-0.054485,-0.434221,0.015852,1009.350700,-0.031372,0.006441,0.036057,,0.069611,0.013773,0.004228,0.032106,-0.388432,-0.920642,-0.004325,-0.006058,0.009358,0.979885,0.198000,0.018788,0.011849
4.000000,-0.001386,-0.000977,-0.000044,-8.802922,-0.544627,-4.287460,-927.228870,-271.005757,-38.338380,-176.996848,-9.966564,-66.987789,-0.002740,-0.001099,0.002062,,,0.527352,-0.084670,-0.247844,-0.453234,-0.942018,0.209778,0.055565,-0.901538,-0.053891,-0.432529,0.010567,1009.351425,-0.038440,0.016266,0.046547,,-1.473612,-0.691614,0.321430,-0.064973,-0.311733,-0.898703,0.131032,-0.073668,0.043219,0.971065,0.162172,-0.027784,0.061461
5.000000,-0.002576,-0.000519,-0.001357,-8.800039,-0.547686,-4.292987,-924.961314,-270.299134,-37.353771,-173.945498,-9.443912,-66.004626,-0.004048,-0.000582,0.001074,0.010000,100.899323,0.525965,-0.084750,-0.247128,-0.453870,-0.942128,0.210096,0.055878,-0.893540,-0.058915,-0.447832,0.010567,1009.351425,0.039037,-0.031184,-0.099116,,-0.617851,-0.285030,-0.317140,-0.800290,0.493185,0.321858,-0.094533,-0.031477,0.042982,0.569887,-0.547388,-0.599766,-0.106876
6.000000,-0.034993,-0.024788,-0.013811,-8.727617,-0.573586,-4.431692,-924.842596,-268.220128,-38.505026,-168.747345,-19.407067,-57.020767,-0.036543,-0.024984,-0.011447,,,0.500051,-0.085061,-0.233922,-0.469852,-0.943483,0.218403,0.058523,-0.891944,-0.057319,-0.450523,,,-0.019768,0.012646,0.013944,93.000000,0.054023,0.008133,0.013732,-0.817955,0.489464,0.301740,-0.006851,-0.009024,-0.016140,0.579013,-0.543573,-0.596117,-0.117400
7.000000,0.025586,-0.051613,0.015433,-8.573418,-0.563410,-4.720437,-924.001006,-265.951074,-45.019124,-168.484556,-33.754981,-53.789831,0.024405,-0.051690,0.017873,-0.009999,100.899490,0.499883,-0.088613,-0.232479,-0.503295,-0.939672,0.234231,0.057484,-0.875946,-0.054814,-0.480616,0.034348,1009.348450,-0.017944,0.025215,0.007393,,0.003411,0.001183,-0.006361,-0.820644,0.497451,0.281097,-0.007533,-0.002558,-0.009979,0.588990,-0.535376,-0.594905,-0.111949
8.000000,0.007995,0.021345,0.001939,-8.542308,-0.551727,-4.784412,-922.210816,-264.679513,-48.212316,-179.942793,-44.601293,-53.517528,0.006543,0.021047,0.004131,,,0.522011,-0.091438,-0.242723,-0.510553,-0.936278,0.236838,0.056290,-0.872566,-0.054848,-0.486925,0.066055,1009.344940,-0.015232,0.013806,0.008880,,0.116087,0.006921,-0.044889,-0.830078,0.489321,0.266846,-0.005598,0.003761,-0.002380,0.594006,-0.528712,-0.594732,-0.116565
9.000000,-0.000984,-0.001774,0.000156,-8.548406,-0.547074,-4.774498,-921.977294,-264.698468,-48.188041,-178.786969,-44.862283,-52.691283,-0.002593,-0.001615,0.002406,,,0.523989,-0.091311,-0.243765,-0.509365,-0.936176,0.236252,0.055815,-0.873201,-0.053149,-0.486227,0.089836,1009.341965,-0.014909,0.025820,0.006996,,-0.092804,-0.005841,0.032383,-0.831195,0.478558,0.281888,-0.006016,-0.007082,-0.013835,0.585638,-0.536436,-0.594055,-0.125814
