time,seconds_elapsed,bpm
1727317825872269300,7.519269287109375,104
1727317830872269300,12.519269287109376,106
1727317832872269300,14.519269287109376,107.00000000000001
1727317836872269300,18.519269287109374,106
1727317845872269300,27.519269287109374,96
1727317850872269300,32.519269287109374,93
1727317854872269300,36.519269287109374,96
1727317860872269300,42.519269287109374,90
1727317861872269300,43.519269287109374,90
1727317866872269300,48.519269287109374,93
1727317871872269300,53.519269287109374,94
1727317876872269300,58.519269287109374,88
1727317881872269300,63.519269287109374,92.00000000000001
1727317886872269300,68.51926928710938,105
1727317891872269300,73.51926928710938,111
1727317917872269300,99.51926928710938,109
1727317940872269300,122.51926928710938,101
1727317945872269300,127.51926928710938,100
